OS Benchmark experiment
Test Name:,4.4.0-179-generic,
       ref          kbest:,0.000000017,
       ref        average:,0.000000033,
       cpu          kbest:,0.002558888,
       cpu        average:,0.002561228,
    getpid          kbest:,0.000000228,
    getpid        average:,0.000000229,
context siwtch          kbest:,0.000004064,
context siwtch        average:,0.000004390,
      send          kbest:,0.000000295,
      send        average:,0.000000670,
      recv          kbest:,0.000000413,
      recv        average:,0.000000584,
  big send          kbest:,0.000000425,
  big send        average:,0.000000877,
  big recv          kbest:,0.000000584,
  big recv        average:,0.000000914,
      fork          kbest:,0.000119505,
      fork       average:,0.000198636,
      fork    Child kbest:,0.000145822,
      fork Child average:,0.000299564,
thr create          kbest:,0.000005446,
thr create       average:,0.000010716,
thr create    Child kbest:,0.000007884,
thr create Child average:,0.000015291,
  big fork          kbest:,0.001695055,
  big fork       average:,0.003297290,
  big fork    Child kbest:,0.001794601,
  big fork Child average:,0.003427599,
 huge fork          kbest:,0.002751780,
 huge fork       average:,0.005930083,
 huge fork    Child kbest:,0.002821232,
 huge fork Child average:,0.006073578,
small write          kbest:,0.000000996,
small write        average:,0.000001180,
small read          kbest:,0.000000441,
small read        average:,0.000000459,
small mmap          kbest:,0.000000580,
small mmap        average:,0.000000665,
small munmap          kbest:,0.000000991,
small munmap        average:,0.000001132,
small page fault          kbest:,0.000000842,
small page fault        average:,0.000000854,
 mid write          kbest:,0.000006223,
 mid write        average:,0.000006347,
  mid read          kbest:,0.000002350,
  mid read        average:,0.000002456,
  mid mmap          kbest:,0.000000569,
  mid mmap        average:,0.000000599,
mid munmap          kbest:,0.000004370,
mid munmap        average:,0.000004459,
mid page fault          kbest:,0.000001446,
mid page fault        average:,0.000001469,
 big write          kbest:,0.000640367,
 big write        average:,0.000686278,
  big read          kbest:,0.000293677,
  big read        average:,0.000319917,
  big mmap          kbest:,0.000000587,
  big mmap        average:,0.000000614,
big munmap          kbest:,0.000106185,
big munmap        average:,0.000107064,
big page fault          kbest:,0.000001999,
big page fault        average:,0.000002170,
huge write          kbest:,0.014185609,
huge write        average:,0.014732449,
 huge read          kbest:,0.019825748,
 huge read        average:,0.019929726,
 huge mmap          kbest:,0.000000609,
 huge mmap        average:,0.000000634,
huge munmap          kbest:,0.001883728,
huge munmap        average:,0.001910011,
huge page fault          kbest:,0.000001980,
huge page fault        average:,0.000002128,
    select          kbest:,0.000001012,
    select        average:,0.000001095,
      poll          kbest:,0.000000913,
      poll        average:,0.000000993,
     epoll          kbest:,0.000000909,
     epoll        average:,0.000000976,
select big          kbest:,0.000071150,
select big        average:,0.000076619,
  poll big          kbest:,0.000066655,
  poll big        average:,0.000071345,
 epoll big          kbest:,0.000061550,
 epoll big        average:,0.000065750,
